ward,year,anc,num_candidates,votes,vote_norm,engagement,prop_uncontested,prop_empty
1,2012,A,1.58333333333333,481.5,NA,NA,0.5,0
1,2012,B,1.25,544.333333333333,NA,NA,0.916666666666667,0
1,2012,C,1.5,641.875,NA,NA,0.625,0
1,2012,D,1.4,559.8,NA,NA,0.6,0
1,2014,A,1.33333333333333,296.25,0.529245814306002,0.636180333367169,0.666666666666667,0
1,2014,B,1.5,319,0.559638698628385,0.737503221753342,0.5,0
1,2014,C,1,460,0.618704844969883,0.644717836289732,1,0
1,2014,D,1.2,426.6,0.607485743174687,0.719655758146309,0.8,0
1,2016,A,1.25,641.916666666667,0.659013654547961,0.767842273460138,0.75,0
1,2016,B,1.08333333333333,722.5,0.645114678417173,0.690220270725962,0.916666666666667,0
1,2016,C,1.25,686,0.537743268665127,0.645893579939622,0.75,0
1,2016,D,1.8,630.8,0.567209468543939,0.800128084014625,0.4,0
1,2018,A,1.16666666666667,520.5,0.699565275085035,0.789882079763088,0.833333333333333,0
1,2018,B,1.16666666666667,563.083333333333,0.725528544232396,0.818210483767702,0.833333333333333,0
1,2018,C,1.375,690.5,0.695144369072553,0.818804148897081,0.625,0
1,2018,D,1.6,513.2,0.608100087770724,0.818987491818726,0.4,0
2,2012,A,1,302.625,NA,NA,0.75,0.125
2,2012,B,1.33333333333333,620.111111111111,NA,NA,0.777777777777778,0
2,2012,C,1,459,NA,NA,1,0
2,2012,D,1,480,NA,NA,1,0
2,2012,E,0.875,406.5,NA,NA,0.875,0.125
2,2012,F,1.5,514.375,NA,NA,0.625,0
2,2014,A,1.25,143,0.549681145534987,0.653673059453932,0.75,0
2,2014,B,1.44444444444444,371,0.572769758893627,0.731565835024226,0.555555555555556,0
2,2014,C,1.33333333333333,258.666666666667,0.606630421021656,0.713010520131481,0.666666666666667,0
2,2014,D,1,263.5,0.53772891938365,0.579395586050316,1,0
2,2014,E,1.125,234.875,0.598204153872146,0.662399290273446,0.875,0
2,2014,F,1.125,305,0.532643523079191,0.595180374250367,0.875,0
2,2016,A,1.125,361.75,0.639699313174377,0.692507298357096,0.875,0
2,2016,B,1.22222222222222,782.111111111111,0.683493793008453,0.7753427624749,0.777777777777778,0
2,2016,C,1,658.666666666667,0.756166887925897,0.774804615776781,1,0
2,2016,D,1,546,0.727994933982566,0.754933195472784,1,0
2,2016,E,1.25,459.25,0.626903526557343,0.711460582776437,0.75,0
2,2016,F,1.375,597,0.542737369967357,0.666779851053576,0.625,0
2,2018,A,1.125,254.375,0.688037069038255,0.770137906250605,0.875,0
2,2018,B,1.22222222222222,574.666666666667,0.698349466523487,0.840883185821988,0.777777777777778,0
2,2018,C,1.33333333333333,417,0.686430368128515,0.806861938501962,0.666666666666667,0
2,2018,D,1.5,349,0.635959281461339,0.848222017798355,0.5,0
2,2018,E,1.25,312.25,0.712971077636034,0.815752675777029,0.75,0
2,2018,F,1.125,602.625,0.755590981859184,0.818707757598695,0.875,0
3,2012,B,1,689.6,NA,NA,1,0
3,2012,C,1.22222222222222,677.888888888889,NA,NA,0.777777777777778,0
3,2012,D,1.2,422.6,NA,NA,0.4,0.2
3,2012,E,1,690.4,NA,NA,1,0
3,2012,F,1.28571428571429,628.571428571429,NA,NA,0.714285714285714,0
3,2012,G,1.28571428571429,713.285714285714,NA,NA,0.857142857142857,0
3,2014,B,1.4,388.8,0.61649859435482,0.770444848860104,0.6,0
3,2014,C,1,463.444444444444,0.651767262157065,0.678824960623178,1,0
3,2014,D,1.3,319.3,0.61078371250895,0.707031043659613,0.8,0
3,2014,E,1.8,451.6,0.562460096258684,0.758038425423234,0.4,0
3,2014,F,1.14285714285714,355.142857142857,0.502017042737013,0.563013885753542,0.857142857142857,0
3,2014,G,1.28571428571429,560.428571428571,0.620512464054757,0.73273401624815,0.714285714285714,0
3,2016,B,1,852.2,0.749700495410742,0.771928939185855,1,0
3,2016,C,1.33333333333333,760.555555555556,0.623027033441031,0.735854040542277,0.666666666666667,0
3,2016,D,1.3,505.3,0.580049562049557,0.702366620336792,0.8,0
3,2016,E,1,848.6,0.737980427213671,0.773370593259454,1,0
3,2016,F,1,760.857142857143,0.656522593635603,0.674674122212964,1,0
3,2016,G,1.28571428571429,789.857142857143,0.642662046242966,0.770785321954368,0.714285714285714,0
3,2018,B,1,663.8,0.811117203407316,0.837705174257971,1,0
3,2018,C,1.22222222222222,687.888888888889,0.724226688254607,0.82312935845076,0.777777777777778,0
3,2018,D,1.1,382.5,0.632758708737976,0.695323024419453,0.9,0
3,2018,E,1.2,642.6,0.712284332987876,0.826771350646984,0.8,0
3,2018,F,1.28571428571429,576.428571428571,0.633714938590781,0.72628971738464,0.714285714285714,0
3,2018,G,1.14285714285714,694.571428571429,0.720681857836516,0.805549447200794,0.857142857142857,0
4,2012,A,0.75,612.5,NA,NA,0.75,0.25
4,2012,B,1.33333333333333,721.333333333333,NA,NA,0.555555555555556,0.111111111111111
4,2012,C,1.1,592.7,NA,NA,0.7,0.1
4,2012,D,1,620.166666666667,NA,NA,0.666666666666667,0.166666666666667
4,2014,A,1.125,498.25,0.717058626606452,0.788728883068748,0.875,0
4,2014,B,1.44444444444444,534.777777777778,0.665491581165605,0.820041820920177,0.555555555555556,0
4,2014,C,1.6,373.6,0.573346217405184,0.777849066401134,0.5,0
4,2014,D,1.5,383.5,0.622428373461206,0.794750288677661,0.5,0
4,2016,A,1.625,671.25,0.638188154748905,0.830786270311149,0.5,0
4,2016,B,1.66666666666667,719,0.583881486270197,0.812082492954292,0.333333333333333,0
4,2016,C,1.1,842.2,0.777748214327957,0.826351683289433,0.9,0
4,2016,D,1.33333333333333,727.166666666667,0.738487130606686,0.856681774404729,0.666666666666667,0
4,2018,A,1.375,490.5,0.635014630447814,0.796403723389132,0.625,0
4,2018,B,1.66666666666667,572.333333333333,0.582419595537507,0.818373655539616,0.444444444444444,0
4,2018,C,1.5,523.3,0.598474767796693,0.797187318950355,0.5,0
4,2018,D,1,610,0.811586215604764,0.843603923753981,1,0
5,2012,A,1.25,579.875,NA,NA,0.5,0.125
5,2012,B,2.2,654,NA,NA,0.4,0
5,2012,C,2.14285714285714,543.714285714286,NA,NA,0,0
5,2012,D,1.42857142857143,546.714285714286,NA,NA,0.714285714285714,0
5,2012,E,2.2,512.9,NA,NA,0.2,0
5,2014,A,1,437.375,0.683618137152894,0.707445824056577,1,0
5,2014,B,1.4,496.2,0.572037551947759,0.728297741629111,0.6,0
5,2014,C,1.71428571428571,397.571428571429,0.60999374283723,0.833482531782931,0.285714285714286,0
5,2014,D,1.85714285714286,163.571428571429,0.439627296214083,0.696087996384045,0.428571428571429,0
5,2014,E,1.9,337.5,0.52157778429725,0.817273004033406,0.3,0
5,2016,A,1.625,556.5,0.600022475616083,0.771615677202587,0.625,0
5,2016,B,1.4,841.4,0.676695604566904,0.863353120988128,0.6,0
5,2016,C,1.57142857142857,742.571428571429,0.656684950319142,0.838474443140176,0.571428571428571,0
5,2016,D,1.57142857142857,580.142857142857,0.620692763782867,0.848450853879688,0.428571428571429,0
5,2016,E,1.8,736.4,0.618297085840543,0.843876923213786,0.4,0
5,2018,A,1.375,484.5,0.618898880704092,0.7918547686179,0.625,0
5,2018,B,1.2,769,0.736102303073967,0.861280642461674,0.8,0
5,2018,C,1.85714285714286,565.571428571429,0.659876413448165,0.888233742157316,0.428571428571429,0
5,2018,D,1.42857142857143,462.285714285714,0.696558672792771,0.868059545478925,0.571428571428571,0
5,2018,E,1.9,535.8,0.58162636134157,0.81285884701682,0.5,0
6,2012,A,1.5,697.625,NA,NA,0.5,0
6,2012,B,1.5,751.8,NA,NA,0.6,0
6,2012,C,1.16666666666667,694.5,NA,NA,0.833333333333333,0
6,2012,D,1.28571428571429,749.285714285714,NA,NA,0.714285714285714,0
6,2012,E,2.14285714285714,457.142857142857,NA,NA,0.142857142857143,0
6,2014,A,1.625,425.5,0.539097778329452,0.741597868428018,0.5,0
6,2014,B,1.7,470.5,0.575385387396244,0.780178128361459,0.5,0
6,2014,C,1.16666666666667,542.5,0.654624424978396,0.739994097335012,0.833333333333333,0
6,2014,D,1.28571428571429,580.142857142857,0.726213503101882,0.791751560745211,0.857142857142857,0
6,2014,E,2,335.142857142857,0.538147966866863,0.806942787071932,0.142857142857143,0
6,2016,A,1.375,949.75,0.716800177451245,0.830946837307692,0.75,0
6,2016,B,1.1,963.5,0.762199073415814,0.81553102115926,0.9,0
6,2016,C,1,1145,0.766082625847171,0.79829860550383,1,0
6,2016,D,2,859.142857142857,0.560802761934415,0.739722119298424,0.571428571428571,0
6,2016,E,2.28571428571429,727.714285714286,0.573570736425103,0.833574243824291,0.285714285714286,0
6,2018,A,1.375,723.5,0.714550357410299,0.864567413254288,0.625,0
6,2018,B,1.1,781.5,0.783959245257211,0.839029664117041,0.9,0
6,2018,C,1.16666666666667,867.833333333333,0.713314767371757,0.813720224779002,0.833333333333333,0
6,2018,D,1.57142857142857,834.857142857143,0.678010230640799,0.852527647297152,0.571428571428571,0
6,2018,E,1.28571428571429,610.714285714286,0.67037912826546,0.842500659875336,0.714285714285714,0
7,2012,B,0.857142857142857,835,NA,NA,0.857142857142857,0.142857142857143
7,2012,C,1.42857142857143,694.428571428571,NA,NA,0.857142857142857,0
7,2012,D,1.42857142857143,600,NA,NA,0.428571428571429,0.142857142857143
7,2012,E,1.42857142857143,515.285714285714,NA,NA,0.285714285714286,0.142857142857143
7,2012,F,0.857142857142857,501.571428571429,NA,NA,0.571428571428571,0.285714285714286
7,2014,B,1.28571428571429,471,0.654278342852565,0.807619943854138,0.714285714285714,0
7,2014,C,1.57142857142857,284.285714285714,0.613878908942823,0.802745571629081,0.428571428571429,0
7,2014,D,1.28571428571429,321.571428571429,0.604706166451445,0.727481750654711,0.714285714285714,0
7,2014,E,1.57142857142857,300,0.584268029854253,0.795252426500828,0.571428571428571,0
7,2014,F,1.57142857142857,181,0.434276548938486,0.608982266673004,0.571428571428571,0
7,2016,B,1.71428571428571,587,0.502579959278447,0.767115289178267,0.428571428571429,0
7,2016,C,1.57142857142857,530.142857142857,0.559485433007752,0.772453931639843,0.428571428571429,0
7,2016,D,1.42857142857143,649.571428571429,0.663994903897425,0.838878192148863,0.571428571428571,0
7,2016,E,1.71428571428571,567.857142857143,0.608472292606018,0.868307564868364,0.428571428571429,0
7,2016,F,1.57142857142857,510.714285714286,0.589901350429689,0.711218881505617,0.714285714285714,0
7,2018,B,1.57142857142857,429.571428571429,0.509357729453826,0.78415608521893,0.428571428571429,0
7,2018,C,1.42857142857143,392.857142857143,0.609673906840176,0.770654955093852,0.571428571428571,0
7,2018,D,1.71428571428571,361.571428571429,0.502945605885221,0.675315075889731,0.571428571428571,0
7,2018,E,1.42857142857143,455.285714285714,0.719005936475401,0.867329001196879,0.571428571428571,0
7,2018,F,1.28571428571429,350.142857142857,0.587192672233096,0.723632847058818,0.714285714285714,0
8,2012,A,1.57142857142857,690.428571428571,NA,NA,0.571428571428571,0
8,2012,B,1,492.571428571429,NA,NA,0.714285714285714,0.142857142857143
8,2012,C,1,296.857142857143,NA,NA,0.285714285714286,0.428571428571429
8,2012,D,0.857142857142857,540.285714285714,NA,NA,0.857142857142857,0.142857142857143
8,2012,E,0.428571428571429,344.428571428571,NA,NA,0.428571428571429,0.571428571428571
8,2014,A,1.42857142857143,303.428571428571,0.596616861208575,0.804016952474915,0.571428571428571,0
8,2014,B,1.14285714285714,188.857142857143,0.516559565251936,0.606818192161689,0.857142857142857,0
8,2014,C,1.42857142857143,218,0.581668993736333,0.756018909013001,0.571428571428571,0
8,2014,D,1,182.285714285714,0.605988021138563,0.647176059091177,1,0
8,2014,E,1.57142857142857,182.714285714286,0.465726302156991,0.699212174255119,0.428571428571429,0
8,2016,A,1.57142857142857,609.571428571429,0.604322477383778,0.749369316403082,0.714285714285714,0
8,2016,B,1.71428571428571,469.428571428571,0.619784296836149,0.839981957270827,0.428571428571429,0
8,2016,C,2,383.285714285714,0.522454267953352,0.873549900536674,0.142857142857143,0
8,2016,D,1,408,0.586136041404631,0.602325903462527,1,0
8,2016,E,1.14285714285714,661.142857142857,0.731817390613566,0.816130397353389,0.857142857142857,0
8,2018,A,1.28571428571429,426.571428571429,0.632237017205304,0.787913809493313,0.714285714285714,0
8,2018,B,1.28571428571429,270.714285714286,0.5679245884206,0.746716698193605,0.714285714285714,0
8,2018,C,1.42857142857143,267.571428571429,0.553118996520059,0.78242932629802,0.571428571428571,0
8,2018,D,1.14285714285714,338.285714285714,0.761374882205431,0.833117983823457,0.857142857142857,0
8,2018,E,1.71428571428571,344.428571428571,0.617377912274598,0.874005007637311,0.571428571428571,0
